EquipmentName,MaxLength,CampsiteID
VEHICLE,0,94780
Tent,0,94853
RV/MOTORHOME,0,94853
Trailer,0,94853
PICKUP CAMPER,0,94853
POP UP,0,94853
CARAVAN/CAMPER VAN,0,94853
SMALL TENT,0,94853
FIFTH WHEEL,0,94853
CAR,0,94853
VEHICLE,0,94853
Tent,0,94805
RV/MOTORHOME,0,94805
Trailer,0,94805
PICKUP CAMPER,0,94805
POP UP,0,94805
CARAVAN/CAMPER VAN,0,94805
SMALL TENT,0,94805
FIFTH WHEEL,0,94805
CAR,0,94805
VEHICLE,0,94805
Tent,0,94806
PICKUP CAMPER,0,94806
CARAVAN/CAMPER VAN,0,94806
SMALL TENT,0,94806
CAR,0,94806
VEHICLE,0,94806
Tent,0,94824
Trailer,0,94824
PICKUP CAMPER,0,94824
CARAVAN/CAMPER VAN,0,94824
SMALL TENT,0,94824
CAR,0,94824
VEHICLE,0,94824
Tent,0,94833
PICKUP CAMPER,0,94833
VEHICLE,0,94833
SMALL TENT,0,94833
CARAVAN/CAMPER VAN,0,94833
CAR,0,94833
Tent,0,94818
PICKUP CAMPER,0,94818
CARAVAN/CAMPER VAN,0,94818
SMALL TENT,0,94818
CAR,0,94818
VEHICLE,0,94818
Tent,0,94860
PICKUP CAMPER,0,94860
CARAVAN/CAMPER VAN,0,94860
SMALL TENT,0,94860
CAR,0,94860
VEHICLE,0,94860
Tent,0,94849
RV/MOTORHOME,0,94849
Trailer,0,94849
PICKUP CAMPER,0,94849
POP UP,0,94849
CARAVAN/CAMPER VAN,0,94849
SMALL TENT,0,94849
FIFTH WHEEL,0,94849
CAR,0,94849
VEHICLE,0,94849
Tent,0,94785
PICKUP CAMPER,0,94785
CARAVAN/CAMPER VAN,0,94785
SMALL TENT,0,94785
CAR,0,94785
VEHICLE,0,94785
SMALL TENT,0,94815
Tent,0,94815
Tent,0,94784
PICKUP CAMPER,0,94784
CARAVAN/CAMPER VAN,0,94784
SMALL TENT,0,94784
CAR,0,94784
VEHICLE,0,94784
Trailer,22,10198862
Trailer,22,219467
Tent,0,95089
Tent,0,95101
Tent,0,41258
Tent,0,95093
Tent,0,95092
Tent,0,95088
Tent,0,41406
Tent,0,95083
Tent,0,95085
Tent,0,95095
Trailer,22,95099
Tent,0,95084
Tent,0,95100
Tent,0,95087
Trailer,22,95081
Tent,0,95086
Tent,0,95097
Tent,0,95104
Tent,0,95098
Tent,0,95102
Trailer,22,95091
Tent,0,41478
Trailer,22,95096
Tent,0,95090
Tent,0,95103
Tent,0,41517
Trailer,22,95094
Trailer,22,95082
Trailer,22,41023
Tent,0,95080
Trailer,22,41855
Tent,0,41756
Tent,40,35728
RV,40,35728
Trailer,40,35728
Tent,45,35876
RV,45,35876
Trailer,45,35876
Tent,30,35140
RV,30,35140
Trailer,30,35140
Tent,45,35590
RV,45,35590
Trailer,45,35590
Tent,35,35885
RV,35,35885
Trailer,35,35885
Tent,40,35531
RV,40,35531
Trailer,40,35531
Tent,45,35510
RV,45,35510
Trailer,45,35510
Tent,30,35004
RV,30,35004
Trailer,30,35004
Tent,40,35394
RV,40,35394
Trailer,40,35394
Tent,20,35488
RV,20,35488
Trailer,20,35488
Tent,45,35481
RV,45,35481
Trailer,35,35481
Tent,25,35658
RV,25,35658
Trailer,25,35658
Tent,30,35777
RV,30,35777
Trailer,30,35777
Tent,35,35214
RV,35,35214
Trailer,35,35214
Tent,35,35172
RV,35,35172
Trailer,35,35172
Tent,30,35299
RV,30,35299
Trailer,30,35299
Tent,25,35167
RV,25,35167
Trailer,25,35167
Tent,35,35009
RV,35,35009
Trailer,35,35009
Tent,35,35370
RV,35,35370
Trailer,35,35370
Tent,40,35294
RV,40,35294
Trailer,40,35294
Tent,40,35373
RV,40,35373
Trailer,40,35373
Trailer,0,46915
Tent,0,46915
RV,0,46915
Tent,0,45709
RV,35,45709
Trailer,22,45709
Tent,0,46765
RV,0,46765
Trailer,0,46765
Tent,0,45770
RV,35,45770
Trailer,30,45770
Tent,0,45528
RV,25,45528
Tent,0,46603
RV,0,46603
Trailer,0,46603
Tent,0,46799
RV,0,46799
Trailer,0,46799
Tent,0,46232
RV,0,46232
Trailer,0,46232
RV,0,46534
Trailer,0,46534
Tent,0,46534
Tent,0,46067
RV,29,46067
Trailer,20,46067
Tent,0,45703
RV,35,45703
Trailer,30,45703
Tent,0,45778
RV,35,45778
Trailer,20,45778
Tent,0,45118
RV,35,45118
Trailer,20,45118
Tent,0,45614
RV,35,45614
Trailer,30,45614
Tent,0,45765
RV,27,45765
Trailer,10,45765
Tent,0,46926
RV,0,46926
Trailer,0,46926
Tent,0,46365
RV,0,46365
Trailer,0,46365
Tent,0,45572
RV,26,45572
Tent,0,45458
RV,35,45458
Trailer,26,45458
Tent,0,45534
RV,35,45534
Trailer,35,45534
Tent,0,46455
RV,0,46455
Trailer,0,46455
Tent,0,46083
RV,0,46083
Trailer,0,46083
Tent,0,45630
RV,35,45630
Trailer,26,45630
Tent,0,46141
RV,0,46141
Trailer,0,46141
Tent,0,45313
RV,26,45313
Tent,0,45971
RV,29,45971
Trailer,20,45971
Tent,0,46193
RV,0,46193
Trailer,0,46193
Tent,0,46196
RV,0,46196
Trailer,0,46196
RV,0,45543
Trailer,0,45543
Tent,0,45543
RV,35,45714
Trailer,35,45714
Tent,0,45714
RV,35,45042
Trailer,26,45042
Tent,0,45042
Tent,0,45419
RV,35,45419
Trailer,32,45419
RV,35,45504
Trailer,21,45504
Tent,0,45504
Tent,0,46189
RV,0,46189
Trailer,0,46189
Tent,0,46809
RV,35,46809
Trailer,35,46809
Tent,0,45405
RV,35,45405
Trailer,26,45405
RV,35,45245
Trailer,20,45245
Tent,0,45245
Tent,0,45981
RV,29,45981
Trailer,16,45981
Tent,0,45555
RV,35,45555
Trailer,30,45555
Tent,0,46288
RV,0,46288
Trailer,0,46288
Tent,0,45661
RV,23,45661
Tent,0,45414
RV,35,45414
Trailer,0,45414
Tent,0,46440
RV,35,46440
Trailer,30,46440
Tent,0,45178
RV,35,45178
Trailer,15,45178
Tent,0,45418
RV,36,45418
Trailer,36,45418
Tent,0,46540
RV,0,46540
Trailer,0,46540
Tent,0,46056
RV,0,46056
Trailer,0,46056
Tent,0,45166
RV,29,45166
Trailer,20,45166
Tent,0,45811
RV,25,45811
Trailer,15,45811
Tent,0,46674
RV,0,46674
Trailer,0,46674
Tent,0,46150
RV,0,46150
Trailer,0,46150
Tent,0,46740
RV,0,46740
Trailer,0,46740
Tent,0,46519
RV,0,46519
Trailer,0,46519
Tent,0,46106
RV,0,46106
Trailer,0,46106
Trailer,0,46291
Tent,0,46291
RV,0,46291
